C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 LOCALIDADES                                                                                                  
DBRRO      00015407Terra Indígena Uru-Eu-Wau-Wau                                           76927810Terra Indígena Uru-Eu-Wau-Wau       PN      00007340RO        I        
DBRRO      00015408Terra Indígena Uru-Eu-Wau-Wau                                           76888810Terra Indígena Uru-Eu-Wau-Wau       PN      00007341RO        I        
DBRRO      00015409Terra Indígena Uru-Eu-Wau-Wau                                           76933820Terra Indígena Uru-Eu-Wau-Wau       PN      00007362RO        I        
DBRRO      00015410Terra Indígena Uru-Eu-Wau-Wau                                           76934810Terra Indígena Uru-Eu-Wau-Wau       PN      00007363RO        I        
DBRRR      00015418Terra Indígena waimiri-Atroari                                          69374820Terra Indígena waimiri-Atroari      PN      00007384RR        I        
DBRRR      00015419Terra Indígena waimiri-Atroari                                          69377810Terra Indígena waimiri-Atroari      PN      00007385RR        I        
DBRRR      00015422Terra Indígena Yanomami                                                 69354810Terra Indígena Yanomami             PN      00007373RR        I        
DBRRR      00015423Terra Indígena Yanomami                                                 69344810Terra Indígena Yanomami             PN      00007374RR        I        
DBRRR      00015424Terra Indígena Yanomami                                                 69369810Terra Indígena Yanomami             PN      00007378RR        I        
DBRRR      00015425Terra Indígena Yanomami                                                 69349810Terra Indígena Yanomami             PN      00007380RR        I        
DBRRR      00015426Terra Indígena Yanomami                                                 69342810Terra Indígena Yanomami             PN      00007381RR        I        
DBRMT      00015429Nova União                                                              78334500Nova União                          DN      00004341MT        I        
DBRBA      00015438Mandacaru                                                               48924200Mandacaru                           DN      00000759BA        I        
DBRSP      00008949Barra Bonita                                                                    Barra Bonita                        MC              SPI3505302U17340000
DBRAM      00015430Terra Indígena Vale do Javari                                           69639810Terra Indígena Vale do Javari       PN      00000206AM        I        
DBRAM      00015431Terra Indígena Pirahã                                                   69299810Terra I Pirahã                      PN      00000244AM        I        
DBRPA      00015432Terra Indígena Cachoeira Seca                                           68142810Terra Indígena Cachoeira Seca       PN      00004826PA        I        
DBRRO      00015433Terra Indígena Uru-Eu-Wau-Wau                                           76939810Terra Indígena Uru-Eu-Wau-Wau       PN      00007328RO        I        
DBRRO      00015434Terra Indígena Uru-Eu-Wau-Wau                                           76859810Terra Indígena Uru-Eu-Wau-Wau       PN      00007343RO        I        
DBRRO      00015435Terra Indígena Massaco                                                  76936810Terra I Massaco                     PN      00007361RO        I        
DBRRO      00015436Terra Indígena Rio Branco                                               76936820Terra Indígena Rio Branco           PN      00007361RO        I        
DBRRO      00015437Terra Indígena Uru-Eu-Wau-Wau                                           76936830Terra Indígena Uru-Eu-Wau-Wau       PN      00007361RO        I        
#
