C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 FAIXAS DE CEP POR BAIRRO                                                                                                                  
D  26SP      00009285Jaú                                                                          00076059Jardim Geraldo Valentim II                                              01 17220450 17220459I
D  26SP      00009285Jaú                                                                          00076057Jardim Santa Marta                                                      01 17219060 17219079I
D  26SP      00009285Jaú                                                                          00076058Pedro Cruzeira                                                          01 17219030 17219059I
D  26SP      00009295Jundiaí                                                                      00076070Loteamento Vila Pedra Bela                                              01 13210110 13210119I
D  26SP      00009317Limeira                                                                      00042764Jardim Águas da Serra                                                   01 13482790 13482796U
D  26SP      00009317Limeira                                                                      00076003Jardim Primavera                                                        02 13482797 13482802I
D  26SP      00009317Limeira                                                                      00076003Jardim Primavera                                                        02 13482834 13482840I
D  26SP      00009317Limeira                                                                      00037600Vila Agostinho Francisco de Assis                                       01 13482803 13482809I
D  26SP      00009317Limeira                                                                      00037600Vila Agostinho Francisco de Assis                                       01 13482800 13482809D
D  26SP      00009317Limeira                                                                      00038033Vila Residencial Treviso                                                01 13482831 13482833U
D  26SP      00009477Penápolis                                                                    00076028Bairro Lageado                                                          01 16309450 16309469I
D  26SP      00009493Piracicaba                                                                   00076006Pira-Pesca (Ártemis)                                                    01 13432050 13432059I
D  26SP      00009529Presidente Alves                                                             00076014Conjunto Habitacional Antônio Rodrigues da Costa                        01 16673620 16673639I
D  26SP      00009587Salto                                                                        00076031Parque Alto da Boa Vista                                                01 13323490 13323499I
D  26SP      00009595Santa Bárbara D'Oeste                                                        00023685Jardim Miguel Cláudio Grego                                             01 13451150 13451153D
D  26SP      00009595Santa Bárbara D'Oeste                                                        00023685Jardim Miguel Cláudio Grego                                             01 13451146 13451153I
D  26SP      00009595Santa Bárbara D'Oeste                                                        00076066Parque Amarílis                                                         01 13453700 13453714I
D  26SP      00009595Santa Bárbara D'Oeste                                                        00067561Residencial Bom Jardim                                                  01 13453690 13453699U
D  26SP      00009595Santa Bárbara D'Oeste                                                        00023748Vila Grego II                                                           01 13451115 13451145U
D  26SP      00009660São José dos Campos                                                          00065147Loteamento Portal Santa Inês                                            01 12226321 12226329D
D  26SP      00009668São Paulo                                                                    00025810Jardim Itapura                                                          12 04467110 04467121U
D  26SP      00009668São Paulo                                                                    00025858Jardim Liderança                                                        05 08240170 08240172U
D  26SP      00009668São Paulo                                                                    00026288Parada                                                                  01 02987030 02987039U
D  26SP      00009668São Paulo                                                                    00026390Parque Primavera                                                        07 04467140 04467160D
D  26SP      00009668São Paulo                                                                    00026390Parque Primavera                                                        07 04467122 04467160I
D  26SP      00009668São Paulo                                                                    00027070Vila Taquari                                                            11 08240165 08240169U
D  26SP      00009726Taubaté                                                                      00076019Loteamento Araça                                                        01 12093221 12093229I
D  26SP      00009788Votorantim                                                                   00076023Villa Bella de Votorantim                                               01 18117761 18117779I
D  26SP      00009789Votuporanga                                                                  00076022Jardim Paulista                                                         01 15500530 15500539I
D  26SP      00009789Votuporanga                                                                  00076020Jardim São Paulo                                                        01 15500500 15500509I
D  26SP      00009789Votuporanga                                                                  00028955Jardim Yolanda                                                          02 15500540 15500549I
D  26SP      00009789Votuporanga                                                                  00076021Residencial Max                                                         01 15500520 15500529I
D  26SP      00009789Votuporanga                                                                  00028991Vila Budim                                                              01 15500140 15500142U
#
