C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 FAIXAS DE CEP POR BAIRRO                                                                                                                  
D  14MG      00003813Santos Dumont                                                                00075976São Sebastião da Barra                                                  02 36242480 36242509I
D  14MG      00003813Santos Dumont                                                                00075976São Sebastião da Barra                                                  02 36242420 36242479I
D  14MG      00003813Santos Dumont                                                                00075977Vila Esperança                                                          02 36244000 36244039I
D  14MG      00003813Santos Dumont                                                                00075977Vila Esperança                                                          02 36244040 36244069I
D  14MG      00004017Teófilo Otoni                                                                00076009Eucalipto                                                               01 39801560 39801564I
D  14MG      00004017Teófilo Otoni                                                                00053160Felicidade                                                              01 39800640 39800669U
D  14MG      00004017Teófilo Otoni                                                                00005636Frimusa                                                                 01 39802390 39802399I
D  14MG      00004017Teófilo Otoni                                                                00005662Tabajaras                                                               04 39801065 39801066D
D  14MG      00004017Teófilo Otoni                                                                00005662Tabajaras                                                               04 39801061 39801066I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407043 38407047I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407498 38407649I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407044 38407047D
D  14MG      00004066Varginha                                                                     00076064Parque São Matheus                                                      01 37007150 37007169I
D  13MS      00004141Campo Grande                                                                 00075998Jacy                                                                    01 79006241 79006249I
D  13MS      00004141Campo Grande                                                                 00068265Loteamento Novo Dia                                                     02 79106664 79106667I
D  13MS      00004141Campo Grande                                                                 00006112Santa Mônica                                                            02 79106668 79106670I
D  13MS      00004141Campo Grande                                                                 00006112Santa Mônica                                                            02 79106664 79106670D
D  13MS      00004263Três Lagoas                                                                  00075997Real Park                                                               01 79621550 79621599I
D  12MT      00004462Rondonópolis                                                                 00076258Condomínio do Bosque                                                    01 78744140 78744142I
D  12MT      00004462Rondonópolis                                                                 00076259Condomínio do Bosque II                                                 01 78744143 78744145I
D  12MT      00004462Rondonópolis                                                                 00076260Condomínio Villa Toscana                                                01 78744146 78744148I
D  12MT      00004462Rondonópolis                                                                 00076228Jardim Recanto da Vila Mineira                                          01 78721850 78721869I
D  12MT      00004462Rondonópolis                                                                 00049818Jardim Residencial Carlos Bezerra II                                    01 78717500 78717559U
D  12MT      00004462Rondonópolis                                                                 00076231Jardim Residencial Dona Neuma                                           01 78716650 78716689I
D  12MT      00004462Rondonópolis                                                                 00076227Parque Rosa Bororo                                                      01 78749000 78749049I
D  12MT      00004462Rondonópolis                                                                 00076262Residencial Edelmina Querobin Marchetti                                 01 78717560 78717579I
D  12MT      00004493Sinop                                                                        00076086Residencial Riviera Suíça I                                             01 78556451 78556499I
D  12MT      00004493Sinop                                                                        00076085Residencial Riviera Suíça II                                            01 78555580 78555589I
D  12MT      00004495Sorriso                                                                      00076125Jardim Botânico                                                         01 78893490 78893519I
D  16PB      00004964João Pessoa                                                                  00075999Mussuré                                                                 01 58095000 58095999I
D  18PE      00005389Petrolina                                                                    00075970Alto do Cocar                                                           01 56315000 56315849I
D  22RS      00007533Canoas                                                                       00013127Centro                                                                  12 92310360 92310379U
D  22RS      00007533Canoas                                                                       00013130Harmonia                                                                17 92310380 92310390I
D  22RS      00007533Canoas                                                                       00013130Harmonia                                                                17 92310370 92310390D
D  22RS      00007953Passo Fundo                                                                  00013441Santa Maria                                                             10 99070250 99070349U
D  22RS      00007953Passo Fundo                                                                  00013398São Cristóvão                                                           16 99070350 99070369I
D  22RS      00007994Porto Alegre                                                                 00013465Azenha                                                                  25 90050090 90050099U
D  22RS      00007994Porto Alegre                                                                 00013475Centro Histórico                                                        17 90050200 90050209U
D  22RS      00007994Porto Alegre                                                                 00013475Centro Histórico                                                        17 90050100 90050103D
D  22RS      00007994Porto Alegre                                                                 00013478Cidade Baixa                                                            14 90050100 90050109I
D  26SP      00008912Araraquara                                                                   00014746São Geraldo                                                             03 14804698 14804699I
D  26SP      00008917Arealva                                                                      00076329Barras do Tietê                                                         01 17160530 17160539I
D  26SP      00008917Arealva                                                                      00076336Chácaras Aurora                                                         01 17166540 17166559I
D  26SP      00008917Arealva                                                                      00076338Condomínio Palmas del Rey                                               01 17169000 17169029I
D  26SP      00008917Arealva                                                                      00076337Conjunto Habitacional Francisco Belo de Camargo                         01 17168040 17168049I
D  26SP      00008917Arealva                                                                      00076326Domingos Aquilante                                                      01 17160390 17160399I
D  26SP      00008917Arealva                                                                      00076335Eldorado                                                                01 17166530 17166539I
D  26SP      00008917Arealva                                                                      00076334Jardim Colonial                                                         01 17166520 17166529I
D  26SP      00008917Arealva                                                                      00076327Jardim da Praia                                                         01 17160510 17160519I
D  26SP      00008917Arealva                                                                      00076333Jardim Primavera                                                        01 17166500 17166519I
D  26SP      00008917Arealva                                                                      00076331Nova Marilândia                                                         01 17165030 17165039I
D  26SP      00008917Arealva                                                                      00076069Portal Paraíso                                                          01 17160470 17160499I
D  26SP      00008917Arealva                                                                      00076330Recanto dos Pássaros                                                    01 17165020 17165029I
D  26SP      00008917Arealva                                                                      00076328Riviera do Tietê                                                        01 17160520 17160529I
D  26SP      00008917Arealva                                                                      00076332Vale do Sol                                                             01 17165500 17165509I
D  26SP      00008949Barra Bonita                                                                 00076320Área Rural de Barra Bonita                                              01 17349899 17349899I
D  26SP      00008949Barra Bonita                                                                 00076285CECAP                                                                   01 17342560 17342579I
D  26SP      00008949Barra Bonita                                                                 00030752Centro                                                                  01 17340001 17340079I
D  26SP      00008949Barra Bonita                                                                 00076271Colina da Barra                                                         01 17340500 17340519I
D  26SP      00008949Barra Bonita                                                                 00076290Conjunto Residencial Coronel José Victorino de França                   01 17345000 17345079I
D  26SP      00008949Barra Bonita                                                                 00076318Distrito Industrial                                                     01 17347600 17347629I
D  26SP      00008949Barra Bonita                                                                 00076317Jardim Alto da Barra                                                    01 17347520 17347539I
D  26SP      00008949Barra Bonita                                                                 00076276Jardim Brasil                                                           01 17342180 17342199I
D  26SP      00008949Barra Bonita                                                                 00076264Jardim Campos Salles                                                    01 17340080 17340099I
D  26SP      00008949Barra Bonita                                                                 00076316Jardim da Barra                                                         01 17347500 17347519I
D  26SP      00008949Barra Bonita                                                                 00076274Jardim das Dracenas                                                     01 17342050 17342089I
D  26SP      00008949Barra Bonita                                                                 00076269Jardim das Orquídeas                                                    01 17340330 17340379I
D  26SP      00008949Barra Bonita                                                                 00076283Jardim dos Ypês                                                         01 17342430 17342449I
D  26SP      00008949Barra Bonita                                                                 00076314Jardim Nova Barra                                                       01 17347450 17347469I
D  26SP      00008949Barra Bonita                                                                 00076286Jardim Nova Estância                                                    01 17342580 17342609I
D  26SP      00008949Barra Bonita                                                                 00076273Jardim Panorama                                                         01 17342030 17342049I
D  26SP      00008949Barra Bonita                                                                 00076312Jardim Pôr do Sol                                                       01 17347430 17347439I
D  26SP      00008949Barra Bonita                                                                 00076284Jardim Samambaia                                                        01 17342500 17342559I
D  26SP      00008949Barra Bonita                                                                 00076303Jardim Santa Elisa                                                      01 17347030 17347049I
D  26SP      00008949Barra Bonita                                                                 00076280Jardim Santa Maria                                                      01 17342310 17342319I
D  26SP      00008949Barra Bonita                                                                 00043698Jardim Vista Alegre                                                     01 17340100 17340129I
D  26SP      00008949Barra Bonita                                                                 00076300Loteamento Vitória                                                      01 17345530 17345579I
D  26SP      00008949Barra Bonita                                                                 00076292Núcleo Habitacional Benedito Francisco Maia                             01 17345110 17345129I
D  26SP      00008949Barra Bonita                                                                 00076295Núcleo Habitacional Comendador Orlando Chesini Ometto                   01 17345300 17345349I
D  26SP      00008949Barra Bonita                                                                 00076270Núcleo Habitacional de Barra Bonita                                     01 17340400 17340499I
D  26SP      00008949Barra Bonita                                                                 00076291Núcleo Habitacional Naza Arradi Nahás                                   01 17345080 17345109I
D  26SP      00008949Barra Bonita                                                                 00076288Parque Industrial São Domingos                                          01 17342630 17342669I
D  26SP      00008949Barra Bonita                                                                 00076313Parque Residencial Bela Vista                                           01 17347440 17347449I
D  26SP      00008949Barra Bonita                                                                 00076268Recanto da Barra                                                        01 17340250 17340269I
D  26SP      00008949Barra Bonita                                                                 00076277Recanto Regina                                                          01 17342230 17342279I
D  26SP      00008949Barra Bonita                                                                 00076310Recanto São Geraldo                                                     01 17347340 17347349I
D  26SP      00008949Barra Bonita                                                                 00076301Residencial Bem Viver                                                   01 17345580 17345609I
D  26SP      00008949Barra Bonita                                                                 00076311Residencial Casa Grande                                                 01 17347400 17347429I
D  26SP      00008949Barra Bonita                                                                 00076287Residencial Cestari                                                     01 17342610 17342629I
D  26SP      00008949Barra Bonita                                                                 00076279Residencial da Colina                                                   01 17342290 17342309I
D  26SP      00008949Barra Bonita                                                                 00076281Residencial e Comercial Jardim Santa Helena                             01 17342370 17342399I
D  26SP      00008949Barra Bonita                                                                 00076293Residencial e Comercial São Sebastião                                   01 17345250 17345259I
D  26SP      00008949Barra Bonita                                                                 00076282Residencial Flamboyant                                                  01 17342400 17342429I
D  26SP      00008949Barra Bonita                                                                 00076319Residencial Natale Spaulonci                                            01 17347630 17347659I
D  26SP      00008949Barra Bonita                                                                 00076315Residencial Parque Barra Ville                                          01 17347470 17347499I
D  26SP      00008949Barra Bonita                                                                 00076296Residencial São Domingos                                                01 17345400 17345409I
D  26SP      00008949Barra Bonita                                                                 00076278Residencial Sargentim                                                   01 17342280 17342289I
D  26SP      00008949Barra Bonita                                                                 00076275Residencial Stangherlin                                                 01 17342150 17342179I
D  26SP      00008949Barra Bonita                                                                 00076304São Caetano                                                             01 17347200 17347239I
D  26SP      00008949Barra Bonita                                                                 00076294Sonho Nosso I                                                           01 17345260 17345299I
D  26SP      00008949Barra Bonita                                                                 00076297Sonho Nosso II                                                          01 17345410 17345449I
D  26SP      00008949Barra Bonita                                                                 00076299Sonho Nosso IV                                                          01 17345500 17345529I
D  26SP      00008949Barra Bonita                                                                 00076298Sonho Nosso V                                                           01 17345450 17345499I
D  26SP      00008949Barra Bonita                                                                 00076308Vila Alcides Corrêa                                                     01 17347290 17347299I
D  26SP      00008949Barra Bonita                                                                 00076309Vila Boca Rica                                                          01 17347300 17347339I
D  26SP      00008949Barra Bonita                                                                 00076305Vila João Victorino                                                     01 17347240 17347249I
